driver_id,driver_onboard_date,first_drive,last_drive,num_drive,day_drive,min_ride_distance,max_ride_distance,total_ride_distance,min_ride_duration,max_ride_duration,total_ride_duration,avg_distance_per_day,avg_duration_per_day,avg_distance_per_drive,avg_duration_per_drive,min_acceptance_duration,max_acceptance_duration,avg_acceptance_duration,min_arrival_duration,max_arrival_duration,avg_arrival_duration,min_wait_duration,max_wait_duration,avg_wait_duration,avg_earning_per_ride,min_earning_ride,max_earning_ride,earnings_per_active_day,ride_freq_during_active,avg_primetime_multiplier,num_rides_in_1st_30days,n_days_after_onboarding,n_days_after_last_drive,n_days_to_first_drive,churn
002be0ffdc997bd5c50703158b7c2491,2016-03-29 00:00:00.000000 UTC,2016-03-29,2016-06-23,277,277,606,109289,1740287,117,4524,221238,31076.553571428572,3950.6785714285716,6282.6245487364622,798.69314079422384,0,345,8.4079422382671449,17,677,172.70397111913354,0,60,5.5162454873646247,10.284251320599584,4.0,78.746694001480009,50.870314567965742,3.2209302325581395,19.4043321299639,112,89,3,0,0
007f0389f9c7b03ef97098422f902e62,2016-03-29 00:00:00.000000 UTC,2016-03-29,2016-06-22,31,31,548,10028,117531,200,1227,20497,9794.25,1708.0833333333333,3791.3225806451615,661.19354838709683,1,78,11.838709677419354,40,350,177.06451612903226,0,59,4.967741935483871,8.29663657728656,4.993610222440001,14.602910801803333,21.432977824656948,0.36470588235294116,20.161290322580648,11,89,4,0,0
011e5c5dfc5c2c92501b8b24d47509bc,2016-04-05 00:00:00.000000 UTC,2016-04-05,2016-06-12,34,34,1148,86080,269653,223,4620,29205,22471.083333333332,2433.75,7930.9705882352937,858.97058823529414,1,20,7.2941176470588216,45,590,223.17647058823528,0,41,4.1470588235294121,11.351242080067943,4.3104005286933331,65.7606064256,32.1618525601925,0.5,19.852941176470587,12,82,14,0,0
0152a2f305e71d26cc964f8d4411add9,2016-04-23 00:00:00.000000 UTC,2016-04-25,2016-06-26,191,191,22,31789,1471239,24,3157,174521,36780.975,4363.025,7702.8219895287957,913.72251308900525,0,756,14.198952879581146,10,695,229.08900523560214,0,60,10.952879581151826,10.935574371619873,4.0,29.293182362733333,52.217367624484929,3.0806451612903225,10.732984293193718,56,64,0,2,0
01674381af7edd264113d4e6ed55ecda,2016-04-29 00:00:00.000000 UTC,2016-04-29,2016-06-24,375,375,673,72609,3123644,145,4996,357443,78091.1,8936.075,8329.717333333334,953.18133333333333,0,1335,12.528,4,1280,216.43999999999997,0,60,8.256,11.479660310786768,4.0,54.340290117213328,107.62181541362597,6.6964285714285712,12.533333333333335,188,58,2,0,0
0213f8b59219e32142711992ca4ec01f,2016-04-07 00:00:00.000000 UTC,2016-04-07,2016-05-07,240,240,235,39916,1559916,72,2716,179878,62396.64,7195.12,6499.65,749.49166666666667,0,146,9.5874999999999986,5,2623,298.14166666666659,0,13,2.4208333333333334,9.8038559003854413,4.0,62.231589376,94.11701664370031,8.0,10.3125,240,80,50,0,1
021e5cd15ef0bb3ec20a12af99e142b3,2016-05-07 00:00:00.000000 UTC,2016-05-07,2016-06-25,53,53,520,25899,257670,233,3156,50447,15157.058823529413,2967.4705882352941,4861.6981132075471,951.83018867924534,1,41,6.6603773584905657,5,680,248.18867924528297,0,59,5.9056603773584913,10.358361827014338,4.1601963642666666,41.460374282809994,32.293716284221176,1.0816326530612246,22.641509433962266,35,50,1,0,0
0258e250ca195cc6258cbdc75aecd853,2016-04-26 00:00:00.000000 UTC,2016-04-26,2016-06-26,302,302,17,66228,2464613,97,3911,269155,58681.261904761908,6408.4523809523807,8160.9701986754962,891.24172185430461,1,167,12.605960264900673,10,1350,317.162251655629,0,163,10.009933774834435,11.337393069578814,4.0,67.107762604133342,81.521254928876331,4.9508196721311473,11.589403973509933,124,61,0,0,0
028b5a4dcd7f4924ebfabcf2e814c014,2016-05-06 00:00:00.000000 UTC,2016-05-06,2016-06-26,363,363,260,62990,2952621,147,3805,350569,75708.230769230766,8988.9487179487187,8133.94214876033,965.75482093663913,0,1139,16.476584022038566,26,1043,259.00275482093667,0,64,12.289256198347108,11.45459945303125,4.0,65.87227553112,106.6158872166755,7.117647058823529,10.950413223140492,200,51,0,0,0
02d6a6b8a6da15fc219a9570f7ebbe78,2016-05-03 00:00:00.000000 UTC,2016-05-03,2016-06-23,62,62,1020,724679,1599719,213,28204,96487,76177.095238095237,4594.6190476190477,25801.919354838708,1556.241935483871,1,90,12.177419354838717,159,1153,623.09677419354841,0,96,4.032258064516129,20.207387118484462,4.21704112752,320.0,59.659904826001757,1.2156862745098038,3.629032258064516,31,54,3,0,0
