driver_id,num_day,date_index
002be0ffdc997bd5c50703158b7c2491,90,"[0, 2, 3, 4, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 28, 29, 37, 38, 47, 49, 50, 51, 52, 53, 54, 57, 59, 60, 61, 64, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 81, 83, 84, 85, 86]"
007f0389f9c7b03ef97098422f902e62,90,"[0, 10, 26, 29, 31, 38, 50, 51, 65, 68, 77, 85]"
011e5c5dfc5c2c92501b8b24d47509bc,83,"[0, 1, 3, 12, 21, 33, 40, 42, 44, 50, 51, 68]"
0152a2f305e71d26cc964f8d4411add9,65,"[2, 3, 4, 5, 6, 7, 10, 12, 13, 14, 17, 18, 19, 20, 21, 33, 34, 35, 36, 38, 39, 40, 41, 43, 45, 46, 47, 48, 49, 50, 52, 53, 54, 55, 59, 60, 61, 62, 63, 64]"
01674381af7edd264113d4e6ed55ecda,59,"[0, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 32, 33, 34, 35, 38, 39, 40, 41, 42, 45, 46, 47, 48, 49, 52, 53, 54, 55, 56]"
0213f8b59219e32142711992ca4ec01f,81,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30]"
021e5cd15ef0bb3ec20a12af99e142b3,51,"[0, 8, 12, 13, 15, 17, 19, 20, 21, 22, 26, 29, 34, 43, 46, 48, 49]"
0258e250ca195cc6258cbdc75aecd853,62,"[0, 3, 4, 5, 7, 10, 11, 12, 13, 16, 17, 18, 20, 21, 22, 24, 25, 26, 28, 30, 32, 34, 35, 36, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 56, 57, 59, 60, 61]"
028b5a4dcd7f4924ebfabcf2e814c014,52,"[0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 15, 16, 17, 19, 21, 22, 23, 25, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 40, 41, 44, 46, 47, 48, 49, 50, 51]"
02d6a6b8a6da15fc219a9570f7ebbe78,55,"[0, 2, 3, 6, 7, 8, 14, 15, 16, 17, 23, 34, 35, 37, 38, 41, 43, 44, 45, 49, 51]"
02e440f6c209206375833cef02e0cbae,88,"[0, 2, 4, 8, 19, 20, 21, 22, 23, 26, 27, 41, 42, 48]"
036f3d94e7c65e4e3574822d31c72656,79,"[1, 3, 4, 5, 6, 7, 8, 11, 12, 14, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 44, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 73, 74, 75, 76]"
039c5afbca8e03e4c18d9c8ea94140ac,76,"[0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 15, 16, 22, 23, 25, 36, 42, 43, 44, 45, 46, 61]"
039da9c077e17af98ca8530e4d7975f1,54,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 47, 48, 49, 50, 51, 52, 53]"
03f2b5c74cb89f39e58711699e76bf39,78,"[0, 2, 3, 4, 5, 8, 9, 10, 11, 12, 18, 19, 20, 24, 41, 45, 47, 48, 51, 52, 53, 54, 65, 66, 68, 69, 70, 72, 73, 74, 75, 76]"
03f5278eb43475aa6790f5be32463755,76,"[0, 1, 2, 3, 6, 7, 8, 9, 13, 14, 15, 16, 20, 21, 22, 24, 27, 28, 29, 30, 31, 34, 35, 36, 38, 43, 44, 48, 49, 50, 51, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 69, 71, 72, 73]"
0430df9a3eb327122c57ee3a64765000,83,"[0, 1, 2, 3, 5, 6, 7, 8]"
04c4ffa5a385eab86fa7e422263d2999,81,"[0, 1, 2, 3, 5, 7, 10, 12, 13, 15, 17, 29, 30]"
04d686ef2fba281e395992a28f14fdd3,44,"[0, 2, 4, 6, 7, 9, 11, 12, 13, 16, 17, 18, 19, 20, 23, 24, 26, 27, 29, 30, 31, 32, 33, 34, 35, 37, 39, 40, 41]"
052bba06c5fc0bdea4bc2f9cb92b37c7,73,"[0, 1, 3, 6, 7, 8, 22, 23, 24, 26, 41, 66]"
059ed570673c2d15ca11dd6b3a25513b,46,"[0, 1, 5, 8, 12, 18, 22, 25, 26, 33, 39]"
05addf442c147875efa5cf53453ad47b,80,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 12, 13, 14, 15, 16, 18, 21, 22, 23, 26, 27, 28, 29, 33, 35, 36, 37, 38, 39, 41, 42, 43, 44, 47, 48, 49, 50, 51, 52, 56, 57, 62, 64, 66, 67, 68, 70, 71, 72, 75, 76, 78, 79]"
05bad02e08c7f849e91dc1259da8b4ec,46,"[0, 3, 4, 8, 10, 12, 14, 15, 16, 22, 23, 29, 30, 31]"
0656192a402808805282e60761bda088,58,"[0, 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57]"
06b1ba06e5505f8218ec8686498f990a,47,"[0, 2, 5, 6, 7, 10, 13]"
06c848ab3a7fc5421e82e98850a81710,68,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 65, 66, 67]"
07dd442e3e0b9f0f9b0d69c7b47cbb06,80,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 18, 19, 20, 21, 22, 23, 32, 33, 35, 36, 39, 46, 50, 51, 55, 56, 57, 60, 62, 66, 67, 68, 69, 70, 71, 72, 74]"
07e6a2fdaadc640cca9a7bec41351065,44,"[0, 1, 3, 26, 27, 28, 36]"
081d8ba3bc9a00a481df02bd9d0a4c53,84,"[0, 2, 4, 5, 6, 24, 31, 32, 52, 58, 59, 60, 61, 62, 63, 64, 65, 67, 69, 70, 71, 72, 73, 75, 76, 78, 79, 80, 81]"
0822973f3e812a68a867962dbbd37f5d,50,"[0, 3, 4, 5, 6, 11, 12, 13, 16, 17, 18, 19, 20, 26, 27]"
08a1491d6a804e0af969f08252ddbbd8,72,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 33, 34, 35, 36, 38, 40, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71]"
08b2b063cce8d02495c4b880293f153c,68,"[0, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 58, 59, 62, 63, 64, 65, 66, 67]"
0938ed763cb3129ae63607aaf69daff5,89,"[0, 1, 2, 5, 6, 26, 30, 33, 34, 35, 63, 87]"
0abc4faab8bbdf4d62412655fe0a2398,55,"[0, 1, 2, 4, 9, 33]"
0afc0241296972b583debd7c5f5c707c,83,"[0, 1, 2, 3, 4, 7, 8, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 50, 51, 52, 53, 54, 55, 59, 60, 61, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 74, 75, 76, 79, 80]"
0b10af0ede0648dbe6ae05813c5cbf1b,45,"[0, 1, 4, 16, 21, 22, 27, 28]"
0b631e16fa61f7321da18cf35a076d5f,75,"[0, 7, 9, 10, 11, 17, 18, 19, 20, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]"
0c02bd2b09f7193103279ab9b760b777,90,"[0, 1, 3, 7, 10, 13, 16, 17, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 48, 50, 51, 52, 55, 56, 57, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 76, 77, 78, 79, 80, 83, 86, 87]"
0ca501b2a1d72e80e0d0cd2c25bdd124,67,"[0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 14, 17, 24, 28, 29, 30, 31, 34, 35, 36, 40, 42, 43, 44, 48, 49, 50, 51, 52, 55, 56, 57, 58, 62]"
0d53c0441daccbb9022ccdcd2a58c7f7,47,"[0, 5, 10, 12, 15, 23, 24, 25, 29, 33, 42, 43]"
0e7f0f05c7e193b1774c2e5713741cd4,84,"[0, 5, 6, 7, 11, 14, 17, 18, 19, 20, 21, 22, 24, 25, 31, 32, 35, 38, 39, 40, 41, 42, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 59, 60, 61, 62, 63, 67, 68, 69, 70, 72, 74, 75, 76, 79, 81, 82, 83]"
0efa2b92642c1e6db77406bb3761baf4,55,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37, 41, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54]"
0eff1404b137a5562642f0f706e59f25,90,"[0, 2, 3, 4, 5, 9, 10, 11, 18, 21, 22]"
0f057c0c73054f569a59a0880b91cbb0,84,"[0, 1, 33, 58, 60, 71, 72, 73, 76, 81, 82]"
0f346940b7c9dc770d408b1063ed2f81,74,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 44, 45, 47, 49, 50, 51, 53, 54, 55, 56, 57, 58, 62, 65, 66, 67, 68, 69]"
100979abe35f7761f333bb7e63649767,78,"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 46, 47, 51, 52, 60, 61, 62, 64, 65, 66, 67, 68, 71, 73, 74, 75, 76]"
10570128e114c22b855f1155b88fb379,62,"[0, 1, 2, 3, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 34, 35, 36, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 55, 56, 57, 59]"
10ab4d373b29fb6ee31ae2b7b39fc574,44,"[0, 1, 6, 7, 8, 12, 13, 18, 20, 21]"
10d2c35bb4b440aa1eaf06d477ff27a6,47,"[0, 1, 5, 6, 20, 21, 22, 24, 26, 27]"
1110d496149d3d8c50276765924df831,88,"[0, 4, 6, 7]"
1127af601413f32c08e2a89447e5f3b9,83,"[0, 3, 35, 52, 70, 79, 80, 81]"
113d6a61dd3bd21e5bc39bc19197f0f4,83,"[0, 1, 2, 3, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 56, 57, 58, 59, 61, 62, 63, 64, 65, 66, 67, 69, 70, 72, 73, 75, 76, 77, 78, 79, 80, 81]"
11506b81721ca68ef019764de3d8edbd,66,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 59, 60, 61, 62, 63]"
117ea72f13b43f0f4055b0472dcb6b1b,63,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]"
118be60e268514eb85f66ddb82bfa407,47,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 16, 21, 22]"
122972e7c73c944e744e6eca819d93e7,64,"[0, 1, 2, 3, 12, 16, 18, 19, 22, 23, 24]"
12933735316b452a5bc6a933d1a38124,62,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 28, 29, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61]"
133c19880625cbe91986ee3c402866cd,60,"[0, 1, 7, 8, 23, 25, 27, 32, 35, 36]"
1340d44ca7946f4192cd80d8f47ce99b,53,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 31, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52]"
14183e69946d782c92eb53b3c6eeb86f,89,"[0, 4, 23, 27, 29, 34, 46, 71, 79]"
148fb453d12992652b56d8bc2cfb1b78,72,"[0, 7, 14, 15, 17, 18, 20, 46]"
156a150f1dbafbb01a786a5f45bdd7b6,84,"[0, 1, 5, 9, 11, 16, 20, 23, 26, 27]"
15e0ade28a7d24026b2fe91ef528ddf5,90,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 37, 38, 39, 42, 43, 45, 46, 47, 49, 52, 53, 54, 55, 56, 57, 58, 59, 63, 65, 66, 67, 68, 69, 71, 72, 73, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 88, 89]"
162441a5f1b85a5c3780686296c3bc75,70,"[0, 8, 10, 11, 12, 14, 16, 17, 18, 24, 25, 27, 29, 44, 45, 46, 47, 48]"
163b1ac215580e695280d8f94c687ef4,70,"[0, 1, 2, 4, 6, 9, 10, 12, 13, 18, 19, 26, 27, 28]"
